FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus
Achnanthaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,NA
Achnanthales,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,NA,NA
Achnanthes,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes acares,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes biasolettiana var subatomus,,,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes brevipes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes brevipes var intermedia,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes coarctata,,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes crenulata,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes exigua var elliptica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes inflata,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,FB,NA,NA,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes ingratiformis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lacus-vulcani,,,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lewisiana,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lutheri,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes ricula,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes saxonica,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes subhudsonis var kraeuselii,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes taeniata,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes ventralis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthidiaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,NA
Achnanthidium,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium affine,,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium alpestre,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
