FinalIDassigned,BCG,BCG12,BCG45,Habitat,SPIspecies,SPIspecies12,SPIspecies45,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus
Achnanthaceae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,NA
Achnanthales,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,NA,NA
Achnanthes,,,,BN,4.5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes acares,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes biasolettiana var subatomus,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes brevipes,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes brevipes var intermedia,,,,,3,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes coarctata,,,,BN,4.5,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes crenulata,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes exigua var elliptica,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes inflata,,,,BN,4,,yes,,,,,,,NM,,,,FB,FB,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes ingratiformis,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lacus-vulcani,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lewisiana,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lutheri,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes ricula,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes saxonica,2,yes,,BN,4.5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes subhudsonis var kraeuselii,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes taeniata,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes ventralis,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,NA
Achnanthidium,,,,BN,4.5,,yes,,,,,low,low,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium affine,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium alpestre,2,yes,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium atomus,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium biasolettianum,2,yes,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium catenatum,,,,,3.5,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
